Date,1930Date,1930Date,Confirmed,Deaths,New_Cases,New_Deaths,Population_Affected,Average,Ave_per_100k,County,State
1/22/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/23/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/24/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/25/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/26/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/27/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/28/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/29/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/30/20,0,0,0,0,0,0,0.0,0,0,New York,New York
1/31/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/1/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/2/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/3/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/4/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/5/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/6/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/7/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/8/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/9/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/10/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/11/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/12/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/13/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/14/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/15/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/16/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/17/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/18/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/19/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/20/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/21/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/22/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/23/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/24/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/25/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/26/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/27/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/28/20,0,0,0,0,0,0,0.0,0,0,New York,New York
2/29/20,0,0,0,0,0,0,0.0,0,0,New York,New York
3/1/20,0,0,0,0,0,0,0.0,0,0,New York,New York
3/2/20,0,0,0,0,0,0,0.0,0,0,New York,New York
3/3/20,0,0,0,0,0,0,0.0,0,0,New York,New York
3/4/20,0,0,0,0,0,0,0.0,0,0,New York,New York
3/5/20,1,0,1,0,1,0,0.0,0,0,New York,New York
3/6/20,2,0,2,0,1,0,0.0,0,0,New York,New York
3/7/20,5,0,5,0,3,0,0.0,1,0,New York,New York
3/8/20,5,0,5,0,0,0,0.0,1,0,New York,New York
3/9/20,5,0,5,0,0,0,0.0,1,0,New York,New York
3/10/20,12,0,12,0,7,0,1e-05,2,0,New York,New York
3/11/20,24,0,24,0,12,0,1e-05,4,0,New York,New York
3/12/20,27,0,27,0,3,0,2e-05,4,0,New York,New York
3/13/20,45,0,45,0,18,0,3e-05,8,0,New York,New York
