Date,387Date,387Date,Confirmed,Deaths,New_Cases,New_Deaths,Population_Affected,Average,Ave_per_100k,County,State
1/22/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/23/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/24/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/25/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/26/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/27/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/28/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/29/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/30/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
1/31/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/1/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/2/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/3/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/4/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/5/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/6/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/7/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/8/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/9/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/10/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/11/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/12/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/13/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/14/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/15/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/16/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/17/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/18/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/19/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/20/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/21/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/22/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/23/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/24/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/25/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/26/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/27/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/28/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
2/29/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/1/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/2/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/3/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/4/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/5/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/6/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/7/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/8/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/9/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/10/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/11/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/12/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/13/20,0,0,0,0,0,0,0.0,0,0,Orange,Florida
3/14/20,1,0,1,0,1,0,0.0,0,0,Orange,Florida
3/15/20,2,0,2,0,1,0,0.0,0,0,Orange,Florida
3/16/20,2,0,2,0,0,0,0.0,0,0,Orange,Florida
3/17/20,6,1,6,1,4,1,0.0,1,0,Orange,Florida
3/18/20,9,1,9,1,3,0,1e-05,1,0,Orange,Florida
3/19/20,19,2,19,2,10,1,1e-05,3,0,Orange,Florida
3/20/20,23,2,23,2,4,0,2e-05,4,0,Orange,Florida
3/21/20,29,2,29,2,6,0,2e-05,5,0,Orange,Florida
